Molecule,snapshot,calculation,charge,spin,method,basis set,solvation (dielectric),output file,input file
FeAB* enol,11,FeAB* enol ct C-mer TDDFT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FeABstar_enol_ctL_C_3sextet_SkS_camb3lyp_augccpVDZ_pcmH2O_tddft100.out,C_FeABstar_enol_ctL_C_3sextet_SkS_camb3lyp_augccpVDZ_pcmH2O_tddft100.in
FeAB* enol,12,FeAB* enol ct N-mer OPT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FeABstar_enol_ctL_N_3sexet_SkS_b3lypD3bj_ccpVDZ_pcmH2O_opt.out,C_FeABstar_enol_ctL_N_3sexet_SkS_b3lypD3bj_ccpVDZ_pcmH2O_opt.in
FeAB* enol,12,FeAB* enol ct N-mer TDDFT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FeABstar_enol_ctL_N_3sexet_SkS_camb3lyp_augccpVDZ_pcmH2O_tddft100.out,C_FeABstar_enol_ctL_N_3sexet_SkS_camb3lyp_augccpVDZ_pcmH2O_tddft100.in
FePB,13,FePB cc p-FAC OPT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FePB_ccL_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt.out,C_FePB_ccL_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt.in
FePB,13,FePB cc p-FAC TDDFT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FePB_ccL_3sextet_camb3lyp_augccpVDZ_pcmH2O_tddft100.out,C_FePB_ccL_3sextet_camb3lyp_augccpVDZ_pcmH2O_tddft100.in
FePB,14,FePB cc m-FAC OPT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FePB2_ccL_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt_4.out,C_FePB2_ccL_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt_4.in
FePB,14,FePB cc m-FAC TDDFT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FePB2_ccL_3sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100_4.out,C_FePB2_ccL_3sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100_4.in
FePB,15,FePB ct p-MER OPT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FePB_ctL2_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt_2.out,C_FePB_ctL2_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt_2.in
FePB,15,FePB ct p-MER TDDFT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FePB_ctL2_3sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100.out,C_FePB_ctL2_3sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100.in
FePB,16,FePB ct m-MER OPT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FePB_ctL_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt.out,C_FePB_ctL_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt.in
FePB,16,FePB ct m-MER TDDFT,-3,6,B3LYP-D3(BJ),cc-pVDZ,cpcm (78.39),C_FePB_ctL_3sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100.out,C_FePB_ctL_3sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100.in
FePB* enol,21,FePB* enol cc p-FAC OPT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FePBstar_enol_L_ccL_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt.out,C_FePBstar_enol_L_ccL_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt.in
FePB* enol,21,FePB* enol cc p-FAC TDDFT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FePBstar_enol_L_ccL_3sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100.out,C_FePBstar_enol_L_ccL_3sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100.in
FePB* enol,22,FePB* enol cc m-FAC OPT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FePBstar_enol_ccL_2pentet_b3lypD3bj_ccpVDZ_pcmH2O_opt_2.out,C_FePBstar_enol_ccL_2pentet_b3lypD3bj_ccpVDZ_pcmH2O_opt_2.in
FePB* enol,22,FePB* enol cc m-FAC TDDFT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FePBstar_enol_ccL_2sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100_2.out,C_FePBstar_enol_ccL_2sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100_2.in
FePB* enol,23,FePB* enol ct p-MER OPT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FePBstar_enol_L_ctL_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt.out,C_FePBstar_enol_L_ctL_3sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt.in
FePB* enol,23,FePB* enol ct p-MER TDDFT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FePBstar_enol_L_ctL_3sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100.out,C_FePBstar_enol_L_ctL_3sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100.in
FePB* enol,24,FePB* enol ct m-MER OPT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FePBstar_enol_ctL_2sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt.out,C_FePBstar_enol_ctL_2sextet_b3lypD3bj_ccpVDZ_pcmH2O_opt.in
FePB* enol,24,FePB* enol ct m-MER TDDFT,-2,6,CAM-B3LYP,aug-ccpVDZ,cpcm (78.39),C_FePBstar_enol_ctL_S_2sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100.out,C_FePBstar_enol_ctL_S_2sextet_camb3lyo_augccpVDZ_pcmH2O_tddft100.in
